OID_,Shape_Length,Shape_Area,Majority_use,Minority_use,N,BD,PR,BH,BF,BA,BFA,RS,BO,BP,BV,std_BH,std_BF,std_BA,std_BFA,std_RS,std_BO,std_BP,std_BV,SP,SP_Classification,Kmeans_Cluster
1,484.842529,12568.395,RESIDENTIAL ONLY,RESIDENTIAL ONLY,18,0.189961196,0.464787122,6.839415663,2.446747713,5841.628134,2387.507345,32.46932766,-27.9239482,21.58322255,0.927344527,1.205687193,0.414886793,121.5060404,46.60048562,5.773713465,48.06810883,12.45521636,39.35799975,642.8595346,1,1
2,597.022247,21638.4587,RESIDENTIAL ONLY,RESIDENTIAL ONLY,32,0.07291339,0.171555509,6.568343466,2.349822269,3712.196798,1577.733375,36.99322823,16.0809781,19.8026825,1.255738187,1.567682365,0.549442935,123.9698132,48.81963618,7.216607902,46.44006034,13.77062384,39.64806877,620.9400155,1,1
3,347.9777589,7497.8803,COMMUNITY - RELIGIOUS,RESIDENTIAL ONLY,9,0.121320862,0.305506226,7.050868435,2.518167298,2290.649117,909.649302,35.88015769,-35.0647384,23.47879613,1.103604427,1.550835963,0.553869987,251.7386299,69.02699399,10.56312666,43.60145727,18.46863267,73.65569836,538.8069832,0,1
4,391.7836589,8098.24565,UNCLASSIFIED,RESIDENTIAL ONLY,17,0.163088267,0.305586927,4.033882017,1.873751747,2474.718002,1320.728851,34.89556563,-15.33949185,17.00660363,0.852509474,3.915570259,0.983226412,93.36822409,19.82080806,3.260506138,63.80877511,5.348409518,39.05114109,709.8612022,2,1
5,312.9227996,6474.08625,RESIDENTIAL ONLY,RESIDENTIAL ONLY,21,0.267143879,0.72931741,7.626684896,2.727277349,4721.663813,1729.512513,38.56215999,5.542478118,21.86309627,1.245461603,1.977759429,0.696255039,243.4535263,72.43656217,3.292740709,56.51152157,20.59232995,73.61799178,580.3048985,0,1
6,330.8671651,5937.52145,RESIDENTIAL ONLY,RESIDENTIAL ONLY,8,0.078528479,0.229424858,8.180339198,2.921549713,1362.215015,466.264531,42.73033848,6.023919724,19.48273552,1.489727006,2.546772003,0.90956143,260.543911,54.50110332,6.738421135,46.84201836,15.05031504,84.69350038,519.044117,0,1
7,187.8463672,1820.0442,RESIDENTIAL ONLY,RESIDENTIAL ONLY,3,0.25114807,0.756463642,8.433663057,3.01202252,1376.797265,457.100588,34.70642722,72.11277131,25.27679015,1.12540862,2.089191286,0.746139745,396.7238881,94.34330074,5.615121215,46.99590498,20.08064586,100.4478417,611.4132882,0,1
8,881.987095,42721.1758,RESIDENTIAL ONLY,RESIDENTIAL ONLY,78,0.159811648,0.426786919,7.469342832,2.670562023,18232.83899,6827.341522,35.45742154,-12.72708556,24.86756576,1.1397318,1.692671683,0.59550054,485.4990238,149.2576229,6.331942799,54.54657727,44.29867669,149.7602033,625.5359886,1,1
9,361.4875782,7682.5654,RESIDENTIAL ONLY,RESIDENTIAL ONLY,16,0.212232939,0.654264331,8.631742757,3.08276527,5026.428509,1630.493434,38.63148221,-23.039109,18.89158535,1.221622857,0.78796178,0.281414921,61.04398985,17.05272384,3.820219738,41.05269229,5.744356826,22.81465675,662.439682,1,1
10,383.8262358,8217.151,RESIDENTIAL ONLY,RESIDENTIAL ONLY,23,0.223032352,0.693031379,8.69669397,3.107313235,5694.743486,1832.690514,40.14781266,-4.906550309,19.09350347,1.283189837,0.905962675,0.313664455,63.16076906,19.36608652,4.146261253,45.45982019,6.669705843,22.73086797,637.222556,1,1
